Datos;TreeSort;HeapSort;MergeSort;QuickSort;Introsort;TimSort
10;43;34;39;38;42;28;33;19;1;9;0;16;
20;107;88;92;91;129;73;100;66;37;17;0;77;
40;255;216;215;214;347;186;216;87;30;36;38;274;
80;591;512;591;590;879;446;570;315;147;73;140;483;
160;1343;1184;1314;1313;2062;1019;1464;617;337;119;412;1294;
320;3007;2688;3084;3084;5016;2390;3174;1571;1038;266;1146;2423;
640;6655;6016;6862;6861;11632;5411;7541;3689;2621;535;2921;4842;
1280;14591;13312;15131;15130;26372;12088;16359;8015;6103;1126;7119;9828;
2560;31743;29184;36643;36642;59208;26741;37180;17493;13247;2063;16801;19458;
5120;68607;63488;74579;74588;131366;58650;76017;37707;29510;4478;38770;39193;
10240;147455;137216;179851;179905;287947;127477;172104;83982;67554;8620;87753;80175;
20480;315391;294912;365196;365396;627836;275639;373029;176561;142614;16936;195974;159195;
40960;671743;630784;806428;807234;1357479;592043;786923;348509;281215;34445;432899;317147;
81920;1425407;1343488;1711604;1714889;2921441;1266244;1678729;827056;691280;68351;947869;636050;
163840;3014655;2850816;3564960;3577614;6251849;2696271;3598418;1735941;1457896;135001;2059442;1274274;
327680;6356991;6029312;7423977;7472307;13320697;5719316;7676243;3741498;3171946;269210;4446638;2540082;
655360;13369343;12713984;15728414;15903085;28280439;12094794;16649850;8079621;6813301;497680;9548717;5077962;
